comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
All people from your religion are evil.,1,0,0,0,1,1
Happy birthday! Hope you have a wonderful day.,0,0,0,0,0,0
Send me explicit photos or I'll spread rumors.,1,0,1,0,1,0
You are such an idiot for saying that.,1,0,0,0,1,0
Great job on the presentation today.,0,0,0,0,0,0
Can you send me the project files when you have time?,0,0,0,0,0,0
Let me know if you need help with homework.,0,0,0,0,0,0
I'm going to destroy your life for this.,1,0,0,1,0,0
"Everyone hates you, just disappear.",1,0,0,0,1,0
"Everyone at school should ignore you forever, freak.",1,0,0,0,1,0
You look like a complete loser in that photo.,1,0,0,0,1,0
"This recipe turned out amazing, thank you.",0,0,0,0,0,0
Congratulations on your promotion!,0,0,0,0,0,0
Let me know if you need help with homework.,0,0,0,0,0,0
I'm going to destroy your life for this.,1,0,0,1,0,0
The weather is beautiful this weekend.,0,0,0,0,0,0
You are worthless garbage and nobody likes you.,1,0,0,0,1,0
I really enjoyed the team lunch yesterday.,0,0,0,0,0,0
I will find you and hurt you if you don't stop.,1,0,0,1,0,0
Disabled people like you shouldn't exist in public.,1,0,0,0,1,1
Great job on the presentation today.,0,0,0,0,0,0
Looking forward to meeting you at the conference.,0,0,0,0,0,0
Can you send me the project files when you have time?,0,0,0,0,0,0
"Everyone at school should ignore you forever, freak.",1,0,0,0,1,0
Happy birthday! Hope you have a wonderful day.,0,0,0,0,0,0
"What a pathetic comment, grow up.",1,0,0,0,1,0
This is the most vile disgusting comment imaginable.,1,1,0,0,1,0
Can you send me the project files when you have time?,0,0,0,0,0,0
You are such an idiot for saying that.,1,0,0,0,1,0
"Go back where you came from, you aren't welcome here.",1,1,0,0,1,1
Let me know if you need help with homework.,0,0,0,0,0,0
Happy birthday! Hope you have a wonderful day.,0,0,0,0,0,0
You are such an idiot for saying that.,1,0,0,0,1,0
The weather is beautiful this weekend.,0,0,0,0,0,0
The weather is beautiful this weekend.,0,0,0,0,0,0
"We all laugh at you behind your back, loser.",1,0,0,0,1,0
Congratulations on your promotion!,0,0,0,0,0,0
Only a moron would believe that nonsense.,1,0,0,0,1,0
Looking forward to meeting you at the conference.,0,0,0,0,0,0
